brand;description;final_price;original_price;discount;regular_price;sku
PLAYADITO;Yerba Mate Playadito Suave X1kg;$3.411;;;Precio regular: $3.411 x kg;315800
OREO;Galletitas Dulces Rellenas Con Crema Oreo 354g;$1.215;;;Precio regular: $3.432,2 x kg;387749
NATURA;Aceite De Girasol Natura 1.5 L;$2.276;;;Precio regular: $1.517,33 x lt;247337
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357g;$1.132,2;$1.887;-40%;Precio regular: $5.391,43 x kg;387752
LA CAMPAGNOLA;Atun La Campagnola Al Natural X170g;$2.490;;;Precio regular: $14.647,06 x kg;348071
LEDESMA;Azúcar Ledesma Molida Clasico 1 Kg;$1.295;;;Precio regular: $1.295 x kg;8777
LA CAMPAGNOLA;Atun La Campagnola En Aceite X170g;$2.490;;;Precio regular: $14.647,06 x kg;348070
ARTESANO;Pan Blanco Bimbo Artesano X 500g;$2.891;;;Precio regular: $5.782 x kg;386145
MAÑANITA;Yerba Mate Mañanita 4flex 1kg;$3.350;;;Precio regular: $3.350 x kg;314524
CUISINE & CO NBE MP;Duraznos En Mitades Cuisine & Co;$710,09;;;Precio regular: $1.464,1 x kg;306824
CUISINE & CO NBE MP;Azucar Cuisine & Co 1kg;$1.063,07;;;Precio regular: $1.063,07 x kg;336700
LA MERCED;Yerba Mate La Merced Campo O.c 500g;$1.803,9;$2.577;-30%;Precio regular: $5.154 x kg;318735
LEDESMA;Azúcar Ledesma Molida 1 Kg;$1.184,18;;;Precio regular: $1.184,18 x kg;238711
CUISINE & CO NBE MP;Señor Pure De Tomate Cuisine & Co 520 Gr;$609,4;;;Precio regular: $1.171,92 x kg;307203
RUMBA;Galletitas Rumba 324g;$1.190;;;Precio regular: $3.718,75 x kg;359196
TERRABUSI;Alfajor Terrabusi Chocolate Clásico 6ux50g;$2.215;;;Precio regular: $7.383,33 x kg;42770
CUISINE & CO NBE MP;Palmitos Trozos Cuisine & Co;$2.381;;;Precio regular: $10.822,73 x kg;308403
CHANGO;Azúcar Chango Refinado Premium 1 Kg.;$1.165,6;;;Precio regular: $1.165,6 x kg;22495
OREO;Galletitas Dulces Rellenas Con Crema Oreo 118g;Llevando 2: $NaN c/u;;;Precio regular: $5.949,15 x kg;387750
PUREZA;Aceite Girasol Pureza 1,5 L;$2.209;;;Precio regular: $1.472,67 x lt;311818
Molinos Ala;Arroz Molinos Ala Parboil Gs X1kg;$2.050;;;Precio regular: $2.050 x kg;403561
DIVERSION;Galletitas Surtido Diversion X398g;$907;;;Precio regular: $2.325,64 x kg;352748
CHOCOLINAS;Galletitas Chocolinas X262g;Llevando 2: $NaN c/u;;;Precio regular: $2.961,54 x kg;382866
COCINERO;Aceite De Girasol Cocinero 900 Ml;$1.400;;;Precio regular: $1.555,56 x lt;31877
UNION;Yerba Mate Unión 4flex 1kg;$3.150;;;Precio regular: $3.150 x kg;330204
MELBA;Galletitas Dulces Rellenas Melba 360g;$1.201;;;Precio regular: $3.336,11 x kg;826
CUISINE & CO NBE MP;Palmitos Entero 800 Gr Cuisine & Co;$6.487;;;Precio regular: $12.974 x kg;308362
HELLMANN´S;Mayonesa Hellmann's Clasica Doypack 950 G;$1.569;;;Precio regular: $1.651,58 x kg;344530
NESQUIK;Nesquik® Original Polvo Chocolatado X 360gr;$1.189,29;$1.829,67;-35%;Precio regular: $5.082,42 x kg;392421
PLAYADITO;Yerba Mate Playadito Suave X500gr;$1.011,5;$1.445;-30%;Precio regular: $2.890 x kg;315804
CUISINE & CO NBE MP;Vainillas Cuisine&co X 36 U;$2.650;;;Precio regular: $5.968,47 x kg;315579
LUCHETTI;Fideos Lucchetti Tallarín N5 X500g;$905;;;Precio regular: $1.810 x kg;403669
NESCAFE;Café Nescafe Gold En Granos X100g;$4.851,79;;;Precio regular: $48.517,9 x kg;406477
CUISINE & CO NBE MP;Arvejas Cuisine & Co 300gr;$600;;;Precio regular: $2.926,83 x kg;343447
LA CAMPAGNOLA;Puré De Tomate La Campagnola 520 Gr;$455;;;Precio regular: $875 x kg;2953
OREO;Galletitas Oreo Mini X50g;$208,8;$348;-40%;Precio regular: $696 x 100 gr.;395234
NUCETE;Aceite De Oliva Nucete Extra Virgen X2000ml;$23.686,88;;;Precio regular: $11.843,44 x lt;342120
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 119g;$431,4;$719;-40%;Precio regular: $5.991,67 x kg;387757
DOS HERMANOS;Arroz Dos Hermanos Pairboil 1 Kg;$1.610,11;;;Precio regular: $1.610,11 x kg;330162
LA MERCED;Yerba Mate La Merced Campo Sur O.c 500g;$1.803,9;$2.577;-30%;Precio regular: $5.154 x kg;318737
BIMBO;Pan Blanco Bimbo X 550g;$2.584;;;Precio regular: $4.698,18 x kg;391387
TODDY;Galletitas Toddy Chips De Chocolate 126 Gr;Llevando 2: $NaN c/u;;;Precio regular: $6.902,54 x kg;281647
NATURA;Aderezo Mayonesa Natura 475 Gr;$951;;;Precio regular: $1.981,25 x kg;8823
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas X3uni 636g;$1.605;;;Precio regular: $2.675 x kg;392860
CUISINE & CO NBE MP;Fideos Spaguetti C&c 500gr;$1.100;;;Precio regular: $2.200 x kg;338136
CUISINE & CO NBE MP;Fideos Tirabuzon C&c 500gr;$1.100;;;Precio regular: $2.200 x kg;338141
CBSE;Yerba Mate Cbse Hierbas Serranas X1kg;Llevando 2: $NaN c/u;;;Precio regular: $2.914 x kg;331005
CHEF;Puré Chef X 100gr;$592;;;Precio regular: $5.920 x kg;384398
TARAGUI;Yerba Mate Taragui 4flex 1kg;$3.150;;;Precio regular: $3.150 x kg;314521
NESCAFE;Nescafé® Tradición X 170gr;$3.111;;;Precio regular: $18.300 x kg;45373
MANA;Galletitas Mana Vainilla 408g;$989;;;Precio regular: $2.472,5 x kg;359215
HELLMANN´S;Mayonesa Hellmanns Liviana 475g;$874;;;Precio regular: $1.840 x kg;386229
ARCOR;Surtido Arcor El Kiosco 246g;$3.760;;;Precio regular: $15.284,55 x kg;330362
LA CAMPAGNOLA;Lomo De Atún Libre De Gluten La Campagnola 300 Gr;$3.900;;;Precio regular: $13.000 x kg;390391
CACHAFAZ;Alfajores Mixtos Cachafaz 12 U;$12.230;;;Precio regular: $16.986,11 x kg;31588
CHOCOLINAS;Galletitas Chocolinas X150g;Llevando 2: $NaN c/u;;;Precio regular: $4.064,94 x kg;382863
SONRISAS;Galletitas Sonrisas Frambuesa X324g;$1.086;;;Precio regular: $3.351,85 x kg;330051
LAY´S;Papas Fritas Lays Clasicas X85g;$1.588;;;Precio regular: $19.850 x kg;395377
BIMBO;Pan Para Hamburguesa Con Sésamo Bimbo X 4u;$1.185;;;Precio regular: $5.642,86 x kg;387643
CUISINE & CO NBE MP;Galletitas Con Chips De Chocolate 172gr C&co;$1.250;;;Precio regular: $7.267,44 x kg;306198
MATARAZZO;Fideos Matarazzo Tirabuzón N34 X500g;$1.292;;;Precio regular: $2.584 x kg;403654
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 390g;$1.227;;;Precio regular: $3.146,15 x kg;386186
AGUILA;Chocolate Aguila Para Taza 150 Gr;$1.908,4;;;Precio regular: $12.722,67 x kg;9598
MILKA;Alfajor Triple Oreo 56g;$419,06;;;Precio regular: $7.483,21 x kg;330886
ARCOR;Turrón De Maní Arcor 25 Gr;$177;;;Precio regular: $708 x 100 gr.;46034
HELLMANN´S;Mayonesa Hellmanns Clasica X475g.;$580;;;Precio regular: $1.221,05 x kg;344528
CUISINE & CO NBE MP;Fideos Coditos C&c 500gr;$1.100;;;Precio regular: $2.200 x kg;336948
LA MERCED;Yerba Mate La Merced Barcbacua O.c 500g;$1.803,9;$2.577;-30%;Precio regular: $5.154 x kg;318742
AZUCEL;Azúcar Azucel Común Tipo A - 1 Kg;$990;;;Precio regular: $990 x kg;251559
NUCETE;Aceite De Oliva Nucete Clásico 500 Ml;$8.301,4;;;Precio regular: $16.602,8 x lt;246123
LUCHETTI;Fideos Lucchetti Tirabuzón N34 X500g;$905;;;Precio regular: $1.810 x kg;403667
MAGGI;Maggi® Puré Original X 200gr;$792,2;;;Precio regular: $3.961 x kg;384402
CUISINE & CO NBE MP;Palmitos Trozos 800 Gr Cuisine & Co;$4.450;;;Precio regular: $8.900 x kg;308361
SALSATI;Puré De Tomate Salsati 520 Gr;$413;;;Precio regular: $794,23 x kg;5793
ARCOR;Pure De Tomate Arcor X530g;$447;;;Precio regular: $843,4 x kg;352094
Kit Kat;Oblea Kitkat® Leche 4 Fingers X 41,5gr;$448,39;;;Precio regular: $1.080,46 x 100 gr.;238230
MANTECOL;Postre Mantecol 111g;$1.109;;;Precio regular: $9.990,99 x kg;330887
BIMBO;Pan De Hamburguesa Bimbo Artesano | 4u;$1.419;;;Precio regular: $5.912,5 x kg;386146
CASALTA;Vinagres De Alcohol Casalta X1300ml;$1.150;;;Precio regular: $884,62 x lt;42682
CUISINE & CO NBE MP;Don Triturado Cuisine & Co 910 Gr;$1.170;;;Precio regular: $1.285,71 x kg;307582
MATARAZZO;Fideos Matarazzo Spaghetti N3 X500g;$1.075;;;Precio regular: $2.150 x kg;407198
LAY´S;Papas Lays Clasicas X40g;Llevando 2: $NaN c/u;;;Precio regular: $2.147,5 x 100 gr.;394951
PUREZA;Aceite Girasol Pureza 0,9 L;$1.430;;;Precio regular: $1.588,89 x lt;311817
PUREZA;Harina Pureza Integral 100% 1 Kg;$599;;;Precio regular: $599 x kg;293243
La Providencia;Galletita Cracker La Providencia Clasica X303g;$800;;;Precio regular: $2.666,67 x kg;294509
LACTAL;Pan Blanco Lactal X 460g;$1.804;;;Precio regular: $3.921,74 x kg;386816
GREEN HILLS;Té Green Hills- 50 Saquitos;$955;;;Precio regular: $9.550 x kg;2772
AMOR;Galletitas Amor 108g;$435;;;Precio regular: $4.350 x kg;359198
LEGITIMO;Aceite Girasol Legitimo X900cc;$990;;;Precio regular: $1.100 x lt;350410
KNORR;Caldo Knorr De Verduras X 12 Cubos;$807;;;Precio regular: $1.614 x 100 gr.;387867
ARTESANO;Pan Integral Bimbo Artesano X 500g;$3.406;;;Precio regular: $6.812 x kg;386148
NATURA;Aderezo Mayonesa Natura 950 Gr;$1.776;;;Precio regular: $1.869,47 x kg;40680
ANILLOS;Galletitas Dulces Anillitos Clásicos De Terrabusi 170g;$566;;;Precio regular: $3.329,41 x kg;330920
CUISINE & CO NBE MP;Vainillas Cuisine&co X 12 U;$850;;;Precio regular: $5.743,24 x kg;315580
HELLMANN´S;Ketchup Hellmanns X250g;Llevando 2: $NaN c/u;;;Precio regular: $3.130,8 x kg;350080
PEPITOS;Galletitas Pepitos Mini X50g;Llevando 2: $NaN c/u;;;Precio regular: $588 x 100 gr.;395243
HELLMANN´S;Mayonesa Hellmanns Liviana 950g;$1.571;;;Precio regular: $1.653,68 x kg;386230
OREO;Galletitas Dulces Rellenas Con Crema Oreo Vainilla 354g;Llevando 2: $NaN c/u;;;Precio regular: $5.457,63 x kg;330858
MEDIA TARDE;Galletitas Mediatarde X315g;$370;;;Precio regular: $1.174,6 x kg;347837
LACTAL;Pan Salvado Lactal X 330g;$1.466;;;Precio regular: $4.442,42 x kg;386817
MOGUL;Gomitas Arcor Mogul Rollo 12 Gr;$299;;;Precio regular: $2.491,67 x 100 gr.;5840
DOS ANCLAS;Sal Fina Dos Anclas 500 Gr;$650;;;Precio regular: $1.300 x kg;40555
NUTELLA;Nutella 350gr;$2.292;;;Precio regular: $6.548,57 x kg;84799
DORITOS;Doritos Queso X77g;$951,6;$1.464;-35%;Precio regular: $18.300 x kg;395376
LA MOLISANA;Pure De Tomate La Molisana Passata X690gr;$4.375;;;Precio regular: $6.340,58 x kg;310599
MAÑANITA;Yerba Mate Mañanita 4flex 1/2kg;$1.750;;;Precio regular: $3.500 x kg;314525
HELLMANN´S;Ketchup Hellmanns Doypack X500g;$640,9;$986;-35%;Precio regular: $1.972 x kg;352159
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas 212g;$624;;;Precio regular: $2.971,43 x kg;392852
SAVORA;Mostaza Savora Original X500gr;$603,85;$929;-35%;Precio regular: $1.858 x kg;383743
LA CAMPAGNOLA;Mermelada La Campagnola Frutilla X390g Bc;$1.570;;;Precio regular: $4.025,64 x kg;340564
CACHAFAZ;Galletitas Cachafaz Granola;$1.666;;;Precio regular: $7.404,44 x kg;28192
OPERA;Galletitas Opera 55 Gr;$232;;;Precio regular: $4.218,18 x kg;39800
VIGENTE;Pure De Tomate Vigente Brick 520 G;$390;;;Precio regular: $750 x kg;214241
PEPITOS;Alfajor Triple Pepitos 57g;$410,27;;;Precio regular: $7.197,72 x kg;16999
FARGO;Pan Integral Grano Entero Fargo X 350g;$2.158;;;Precio regular: $6.165,71 x kg;387670
VOCACION;Galletitas Merengadas Frutilla X88g;$437;;;Precio regular: $5.462,5 x kg;382865
MILKA;Alfajor Triple Milka Mousse 55g;$400,44;;;Precio regular: $7.280,73 x kg;37178
MILKA;Alfajor Simple Milka Mousse 6ux42g;$2.641;;;Precio regular: $6.288,1 x 100 gr.;18003
KINDER;Kinder Bueno;$775;;;Precio regular: $1.802,33 x 100 gr.;10109
CASERITA;Harina Caserita 000 1 Kg;$375;;;Precio regular: $375 x kg;2219
LAY´S;Papas Fritas Lays Queso Y Cebolla X77g;$1.384;;;Precio regular: $17.300 x kg;395395
LA MERCED;Yerba Mate La Merced Campo&monteo.c 500g;$1.803,9;$2.577;-30%;Precio regular: $5.154 x kg;318738
SHOT;Alfajor Shot Triple Relleno De Chocolate Con Maní 60g;$436,78;;;Precio regular: $7.279,67 x kg;12911
DORITOS;Nachos Doritos Sabor Queso X40g;$558,35;$859;-35%;Precio regular: $2.147,5 x 100 gr.;394960
SALADIX;Galletitas Saladix Pizza X 30grs;$186;;;Precio regular: $620 x 100 gr.;3136
RHODESIA;Oblea Rhodesia Clásica 4ux22g;$1.430;;;Precio regular: $16.250 x kg;43295
FRANCE;Pan Dulce France Con Frutas Paquete 400 Grs.;$1.199;;;Precio regular: $2.997,5 x kg;238076
COFLER;Chocolate Cofler Block Con Maní 110 Gr;$1.352;;;Precio regular: $12.290,91 x kg;3020
PRESTOPRONTA;Harina De Maíz Presto Pronta 500 Gr;$566;;;Precio regular: $1.132 x kg;40326
CUISINE & CO NBE MP;Garbanzos Cuisine & Co 300gr;$1.000;;;Precio regular: $4.878,05 x kg;343443
CELUSAL;Sal Fina Celusal 500 Gr;$501;;;Precio regular: $1.002 x kg;40423
SALADIX;Galletitas Saladix Pizza 100 Gr;$599;;;Precio regular: $5.990 x kg;2744
FERRERO;Bombones Ferrero Rocher 3 U;$781;;;Precio regular: $2.055,26 x 100 gr.;17360
MILKA;Bombón De Chocolate Milka Oreo 19g;$119,62;;;Precio regular: $629,58 x 100 gr.;320099
BON O BON;Oblea Bañada Rhodesia 22gr;$379;;;Precio regular: $1.722,73 x 100 gr.;638
HILERET;Endulzante Hileret Light X 500 Gr;$1.638;;;Precio regular: $3.276 x kg;29821
PRINGLES;Papas Pringles Crema Y Cebolla X124g;$1.856,96;;;Precio regular: $15.474,67 x kg;386819
LA ESPAÑOLA GOURMET;Lentejas La Española Gourmet 400 Gr;$470;;;Precio regular: $1.175 x kg;27436
OROWEAT;Pan Con Cereales Oroweat X 600g;$3.796;;;Precio regular: $6.326,67 x kg;381713
PASEO;Galletitas Paseo Cinco Semillas 250gr;$431;;;Precio regular: $1.724 x kg;329412
CUISINE & CO NBE MP;Champignones Laminados Cuisine & Co;$1.861;;;Precio regular: $8.091,3 x kg;309249
CACHAFAZ;Galletitas Integral Cachafaz Avena Con Chips De Chocolate 225 Gr;$1.666;;;Precio regular: $7.404,44 x kg;28193
MILKA;Alfajor Triple Milka Dulce De Leche 70g;$383,01;;;Precio regular: $5.471,57 x kg;3194
SAVORA;Mostaza Savora Original X250gr;Llevando 2: $NaN c/u;;;Precio regular: $2.096 x kg;383749
NUCETE;Aceite De Oliva Nucete Virgen Lata - 500 Ml;$7.945;;;Precio regular: $15.890 x lt;315563
FARGO;Pan Salvado Plus Fargo X 600g;$2.839;;;Precio regular: $4.731,67 x kg;387671
CACHAFAZ;Conito Cachafaz De Chocolote 228 Gr;$5.304;;;Precio regular: $23.263,16 x kg;46463
MATARAZZO;Fideos Matarazzo Penne X500g;$1.110;;;Precio regular: $2.220 x kg;403594
JUMBO MP;Fideos Spaghetti Jumbo 500 Gr;$956;;;Precio regular: $1.912 x kg;14439
VERDEFLOR;Yerba Mate Verdeflor Con Palo Hierbas 500 Gr;$1.713;;;Precio regular: $3.426 x kg;13831
DOS ANCLAS;Sal Fina Dos Anclas X500gr;$650;;;Precio regular: $1.300 x kg;24157
LA CAMPAGNOLA;Mermelada La Campagnola Arandano X390g Bc;$1.555;;;Precio regular: $3.987,18 x kg;340586
TARAGUI;Mate Cocido Taragui X 150 Gr;$1.265;;;Precio regular: $8.433,33 x kg;320478
CUISINE & CO NBE MP;Lentejas Cuisine & Co 300gr;$1.050;;;Precio regular: $5.121,95 x kg;343441
ARTESANO;Pan De Semillas Bimbo Artesano X 500g;$3.406;;;Precio regular: $6.812 x kg;386147
GRANIX;Copos De Maíz Tradicionales Granix 400 Gr;$780,55;;;Precio regular: $1.951,38 x kg;30583
SHOT;Chocolate Con Maní Shot 35g;$499;;;Precio regular: $1.425,71 x 100 gr.;10281
OREO;Galletitas Dulces Rellenas Con Crema Sabor Frutilla Oreo 118g;$438;$730;-40%;Precio regular: $6.186,44 x kg;387756
LINCOLN;Galletitas Lincoln Clasicas X219g;$772;;;Precio regular: $3.509,09 x kg;395228
LUCHETTI;Fideos Lucchetti Mostachol N51 X500g;$905;;;Precio regular: $1.810 x kg;403670
DOS ANCLAS;Sal Gruesa Dos Anclas 500 Gr;$550;;;Precio regular: $1.100 x kg;24634
ARTESANO;Pan De Panchos Bimbo Artesano X 6u;$1.419;;;Precio regular: $5.912,5 x kg;386142
SWIFT;Picadillo De Carne Swift 90 Gr;$473;;;Precio regular: $5.255,56 x kg;148266
ROYAL;Gelatina Royal Frutilla Regular 25g;$306;;;Precio regular: $1.224 x 100 gr.;386166
CUISINE & CO NBE MP;Aceite De Oliva Cuisine & Co Extra Virgen 500cc;$12.650;;;Precio regular: $25.300 x lt;337884
BAGLEY;Alfajor Triple Negro Bob 60 Gr;$596;;;Precio regular: $9.933,33 x kg;44495
LA CAMPAGNOLA;Mermelada La Campagnola Ciruela X390g Bc;$900;;;Precio regular: $2.307,69 x kg;340587
STARBUCKS;Starbucks® Nespresso® Blonde Espresso X 10un;$4.185,47;;;Precio regular: $418,55 x un;312506
CUISINE & CO NBE MP;Mermelada De Durazno Cuisine & Co;$1.200;;;Precio regular: $2.637,36 x kg;309435
BIMBO;Pan De Papa De Hamburguesa Artesano X 4u;$1.658;;;Precio regular: $6.908,33 x kg;386144
FARGO;Pan Mix De Cereales Fargo X 400g;$2.158;;;Precio regular: $5.395 x kg;387672
LAY´S;Papas Fritas Lays Jamon Serrano X77g;$1.032,2;$1.588;-35%;Precio regular: $19.850 x kg;395373
CASALTA;Aceto Balsámico Casalta Redución 400 Ml;$4.650;;;Precio regular: $11.625 x lt;46442
CUISINE & CO NBE MP;Jardinera Cuisine & Co 300gr;$1.050;;;Precio regular: $4.772,73 x kg;343442
TARAGUI;Te Taragui Sin Filtro Diamantado X 50 Saquitos;$956;;;Precio regular: $9.560 x kg;331138
HOGAREÑAS;Galletitas Hogareñas Salvado 200g;$416;;;Precio regular: $2.080 x kg;318821
CUISINE & CO NBE MP;Pionono Vainilla Cuisine & Co 200gr;$1.350,96;;;Precio regular: $6.754,8 x kg;330330
CUISINE & CO NBE MP;Tu Polenta - Harina De Maiz Instantanea;$366,45;;;Precio regular: $732,9 x kg;308296
MOGUL;Gomitas Mogul Conitos 1 Kg;$5.062;;;Precio regular: $5.062 x kg;4783
ROYAL;Flan Royal Vainilla 60g;$187;;;Precio regular: $3.116,67 x kg;389911
HEINZ;Mayonesa Heinz 350gr;$1.100;;;Precio regular: $3.125 x kg;258198
CUISINE & CO NBE MP;Pionono Salado Cuisine & Co 200gr;$1.350,96;;;Precio regular: $6.754,8 x kg;330327
BARILLA;Fideos Spaghetti Barilla 500 Gr;$5.868,15;;;Precio regular: $11.736,3 x kg;27836
SWIFT;Pate De Foie Swift 90 Gr;$464;;;Precio regular: $5.155,56 x kg;2983
LACTAL;Pan Blanco Lactal X 315g;$1.268;;;Precio regular: $4.090,32 x kg;386821
Molinos Ala;Arroz Molinos Ala En Grano 1kg;$2.650;;;Precio regular: $2.650 x kg;409102
CUISINE & CO NBE MP;Galletitas C/chips Chocolate 186grc&c;$1.200;;;Precio regular: $6.451,61 x kg;306208
CUISINE & CO NBE MP;Galletitas Con Avena Y Pasas 186gr C&c;$1.200;;;Precio regular: $6.451,61 x kg;306201
BELDENT;Chicle Sabor Chicle Globo Beldent 20g;$400;;;Precio regular: $4.000 x 100 gr.;329810
BIMBO;Pan Blanco Bimbo X 400g;$1.960;;;Precio regular: $4.900 x kg;395580
DOS HERMANOS;Galleta De Arroz Slim Dos Hermanos Salada X100 Gr;$545,13;;;Precio regular: $5.451,3 x kg;245363
FLOW;Barra Flow Almendras Enteras Con Piso De Chocolate X30g;$195,94;;;Precio regular: $653,13 x 100 gr.;351991
9 DE ORO;Bizcochos De Grasa 9 De Oro 200 Gr;$1.297;;;Precio regular: $6.485 x kg;2817
CADA DIA;Aceite De Girasol Cada Día 900 Ml;$968;;;Precio regular: $1.075,56 x lt;24608
CUISINE & CO NBE MP;Tostadas De Arroz Aireadas 110 Gr C&co;$1.000;;;Precio regular: $9.090,91 x kg;306168
CUISINE & CO NBE MP;Sardinas En Aceite cuisine & Co 160gr;$1.763,55;;;Precio regular: $16.637,26 x kg;338370
TITA;Tita Clásica 19g;$343;;;Precio regular: $1.805,26 x 100 gr.;330894
CUISINE & CO NBE MP;Lentejas Secas Cuisine & Co 400gr;$1.650;;;Precio regular: $4.125 x kg;342227
MAGGI;Maggi® Puré Original X 100gr;$715;;;Precio regular: $7.150 x kg;399828
CUISINE & CO NBE MP;Aceite De Oliva Virgen 500ml Cuisine & Co;$11.100;;;Precio regular: $22.200 x lt;352424
KNORR;Pure De Papas Knorr Receta Completa Listo X125g;$905;;;Precio regular: $7.240 x kg;352161
ROSAMONTE;Yerba Mate Rosamonte Con Palo Suave 500 Gr;$1.397,75;;;Precio regular: $2.795,5 x kg;6503
CUISINE & CO NBE MP;Madalenas Vainilla Con Dulce De Leche C&co 180 Gr;$776,88;;;Precio regular: $4.316 x kg;384164
