brand;description;final_price;original_price;discount;regular_price;sku
MILK;Alfajor Triple Milka Mousse Blanco 55g;$643;;;Precio regular: $11.690,91 x kg;24023
Molinos Ala;Tostadas Arroz Molinos Ala Integ X150g;$616,19;;;Precio regular: $4.107,93 x kg;306789
LA CAMPAGNOLA;Aderezo Ketchup La Campagnola 250 Gr;$319,8;$492;-35%;Precio regular: $1.968 x kg;30314
MAIZENA;Almidon De Maiz Maizena Sin Tacc X500g;$1.071;;;Precio regular: $2.142 x kg;392953
LA VIRGINIA;Cafe La Virginia Capsulas Sutil X52g;$4.635;;;Precio regular: $463,50 x un;346855
STARBUCKS;Starbucks® Nespresso® House Blend X 10u.;$4.185,47;;;Precio regular: $418,55 x un;312502
MOGUL;Gomitas Mogul Jelly Buttons 1 Kg;$5.062;;;Precio regular: $5.062 x kg;4781
ROYAL;Gelatina Royal Light Cereza 25grs;$512;;;Precio regular: $2.048 x 100 gr.;386161
TERRABUSI;Alfajor Triple Terrabusi Clásico 70g;$392,63;;;Precio regular: $5.609 x kg;15593
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 590g;$1.773;;;Precio regular: $2.955 x kg;387759
CBSE;Yerba Mate Cbsé Hierbas Serranas X50yerba Mate Cbse Hierbas Serranas X500g;Llevando 2: $NaN c/u;;;Precio regular: $3.111,7 x kg;331007
KRACH-ITOS;Palitos Krach-itos Salados X110g;$704;;;Precio regular: $6.175,44 x kg;387603
STARBUCKS;Starbucks® Nespresso® Espresso Roast X 10un;$4.185,47;;;Precio regular: $418,55 x un;312511
TIC TAC;Pastillas Tic Tac Mix De Frutas 33 U;$220;;;Precio regular: $1.375 x 100 gr.;34405
NESQUIK;Nesquik® Original Polvo Chocolatado Menos Azúcar X 300gr;$2.236;2do al 70%;Llevando 2: $1.453,4 c/u;Precio regular: $7.453,33 x kg;392447
CBSE;Yerba Mate Cbse Naranja X500g;$1.089,09;$1.555,85;-30%;Precio regular: $3.111,7 x kg;331011
CACHAFAZ;Galletitas Integral Cachafaz Avena Y Pasas 225 Gr;$1.666;;;Precio regular: $7.404,44 x kg;28200
CASERITA;Harina Caserita Leudante 1 Kg;$490;;;Precio regular: $490 x kg;2362
ALCAZAR;Vinagre Alcazar De Alcohol X 500 Cc.;$400;;;Precio regular: $800 x lt;60013
CACHAFAZ;Alfajores Cachafaz Negros 360g;$6.098;;;Precio regular: $16.938,89 x kg;46317
DON VICENTE;Fideos Don Vicente Fettuccini X500g;$1.683;;;Precio regular: $3.366 x kg;407183
ARCOR;Mermelada Arcor Damasco Fruta X454g;$951;;;Precio regular: $2.094,71 x kg;337042
HOJALMAR;Galletitas Hojalmar Larguitas De Hojaldre 150 Gr;$414;;;Precio regular: $2.760 x kg;2757
LA LECHERA;La Lechera® Nutrifuerza X 800gr;$4.797;;;Precio regular: $5.996,25 x kg;392428
PRINGLES;Papas Pringles Queso X124gs;$1.856,96;;;Precio regular: $15.474,67 x kg;386822
CUISINE & CO NBE MP;Tostadas Finas light 140gr C&co;$1.700;;;Precio regular: $12.142,86 x kg;309293
HELLMANN´S;Salsa Golf Hellmanns Sin Tacc X250gr;$353,6;$544;-35%;Precio regular: $2.176 x kg;384486
CUISINE & CO NBE MP;Galles Con Avena Y Coco Con Chips 186 Gr C&co;$1.200;;;Precio regular: $6.451,61 x kg;340069
BIMBO;Pan Brioche De Hamburguesa Artesano X 4u;$1.658;;;Precio regular: $6.908,33 x kg;386149
FRUTIGRAN;Galletitas Frutigran Con Chips De Chocolate 255 Gr;$774,52;;;Precio regular: $3.037,33 x kg;32988
ALICANTE;Pimenton Alicante St X50g;$1.020;;;Precio regular: $2.040 x 100 gr.;342885
KRACH-ITOS;Papas Krach-itos Corte Americano X115g;$1.331;;;Precio regular: $11.573,91 x kg;387604
BIMBO;Pan Integral Cero Cero Bimbo 350g;$2.553;;;Precio regular: $7.294,29 x kg;403600
ROYAL;Gelatina Royal Frutos Rojos 25g;$512;;;Precio regular: $2.048 x 100 gr.;386164
BIGGYS;Pochoclo Acaramelados Biggys X 60gr;$450;;;Precio regular: $7.500 x kg;306619
ROYAL;Gelatina Sin Sabor Royal 14g;$306;;;Precio regular: $2.185,71 x 100 gr.;45471
ALICANTE;Coco Rallado Alicante St X50g;$569;;;Precio regular: $11,38 x lt;342875
ALICANTE;Oregano Alicante St X50gr;$1.390;;;Precio regular: $2.780 x 100 gr.;336771
ALICANTE;Bicarbonato De Sodio Alicante St X50g;$418;;;Precio regular: $836 x 100 gr.;342880
LETIZIA;Harina De Trigo Letizia 000 X1kg;$432;;;Precio regular: $432 x kg;288862
SERENATA;Garrapiñada Serenata De Maní X 80 Gr;$249;;;Precio regular: $3.112,5 x kg;24376
STARBUCKS;Starbucks® Nespresso® Pike Place X 10un;$4.185,47;;;Precio regular: $418,55 x un;312509
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Mix Vainilla 300g;$925;;;Precio regular: $3.083,33 x kg;386181
GRANIX;Galletitas Granix Salvado X240gr;$479,15;;;Precio regular: $1.996,46 x kg;301338
MATARAZZO;Fideos Matarazzo Tirabuzón N28 X500g;$1.075;;;Precio regular: $2.150 x kg;407211
CEREAL MIX;Barra Cereal Mix Yoghurt Frutilla Light X104gr;$1.453;;;Precio regular: $13.971,15 x kg;343316
OPERA;Galletitas Obleas Opera Chocolate X68g;$410;;;Precio regular: $6.029,41 x kg;339714
CUISINE & CO NBE MP;Fideos Moños C&c 500gr;$1.379;;;Precio regular: $2.758 x kg;338132
FARGO;Pan Blanco Lacteado Fargo 330g;$1.768;;;Precio regular: $5.357,58 x kg;403592
GRANAGUA;Galletitas De Agua Granagua 200 Gr;$342,69;;;Precio regular: $1.713,45 x kg;5739
REX;Galletitas Rex Original Tubo 75 Gr;$442;;;Precio regular: $5.893,33 x kg;42596
ALICANTE;Provenzal Alicante St X50gr;$1.181;;;Precio regular: $2.362 x 100 gr.;336772
CUISINE & CO NBE MP;Miss Hojaldre - Triangulitas Cuisine & Co 150 Gr;$1.050;;;Precio regular: $7.000 x kg;309267
NATURA;Mostaza Natura;Llevando 2: $NaN c/u;;;Precio regular: $1.680 x kg;28934
CUISINE & CO NBE MP;Arveja Sin Sal Agregada Cuisine & Co 300gr;$700;;;Precio regular: $3.414,63 x kg;343448
CUISINE & CO NBE MP;Tostadas Finas clásicas 140gr C&co;$1.700;;;Precio regular: $12.142,86 x kg;309292
UNION;Mate Cocido Union 25 Saquitos;$676;;;Precio regular: $9.013,33 x kg;348529
OREO;Galletitas Oreo Chocolate X118g;Llevando 2: $NaN c/u;;;Precio regular: $6.338,98 x kg;391526
FAVINCO;Vinagre Favinco De Alcohol X1300ml;$1.150;;;Precio regular: $884,62 x lt;391148
FRUTIGRAN;Galletitas Frutigran Avena Y Pasas 250 Gr;$758,69;;;Precio regular: $3.034,76 x kg;5734
NESQUIK;Nesquik® Cereal X 400gr;$2.345,76;;;Precio regular: $5.864,4 x kg;392418
LACTAL;Pan Con Salvado Semillas Chia Y Lino Lactal 33;$1.664;;;Precio regular: $5.042,42 x kg;403585
ZUCARITAS;Copos De Maiz Zucarita Kelloggs X490g;$2.796;;;Precio regular: $5.706,12 x kg;392150
ARTESANO;Turron Artesano Torta Alicante 150 Gr;$5.490;;;Precio regular: $36.600 x kg;13261
TIC TAC;Pastillas Tic Tac Menta 33 U;$220;;;Precio regular: $1.375 x 100 gr.;30217
DULCE MAMA;Budin Dulce Mama - Sabor Vainilla - 170 Gr;$399;;;Precio regular: $2.347,06 x kg;315178
CUISINE & CO NBE MP;Papas Fritas Corte Americano Cuisine & Co 150;$1.680;;;Precio regular: $11.200 x kg;325710
MAGGI;Maggi® Caldo Verdura X 6u.;$160,34;;;Precio regular: $2.812,98 x kg;344847
MILKA;Chocolate Con Leche Milka 55g;$640;;;Precio regular: $11.636,36 x kg;251541
QUAKER;Avena Quaker Extra Fina 470g;$1.200,13;;;Precio regular: $2.553,47 x kg;319793
KNORR;Caldo Knorr Sabor Gallina X 12 Cubos;$807;;;Precio regular: $7.078,95 x kg;387872
MORIXE;Pan Rallado Morixe 500 Gr;$814;;;Precio regular: $1.628 x kg;293852
JORGITO;Alfajor Negro Con Dulce De Leche Jorgito Mini 155 Gr;$1.359,06;;;Precio regular: $8.768,13 x kg;29364
OPERA;Galletitas Obleas Opera Frutilla X68g;$300;;;Precio regular: $4.411,76 x kg;339715
FRESH MP;Palmeritas De Manteca 200 Gr;$1.949;;;Precio regular: $9.745 x kg;18166
KINDER;Kinder Chocolate 12,5 Gr;$191;;;Precio regular: $1.528 x 100 gr.;17639
Molinos Ala;Arroz Molinos Ala Ita Caabó Largo Fino 1k;$2.500;;;Precio regular: $2.500 x kg;350361
GIACOMO;Capelettini Giacomo Tridicci 500g;$2.106;;;Precio regular: $4.212 x kg;336065
UNION;Mate Cocido Unión 150 Gr;$1.189;;;Precio regular: $7.926,67 x kg;320480
ARTESANO;Turrón Artesano Jijona X150g;$4.990;;;Precio regular: $33.266,67 x kg;13259
LAY´S;Papas Lays Cheddar X77g;$1.032,2;$1.588;-35%;Precio regular: $22.685,71 x kg;395382
LA CAMPAGNOLA;Arvejas La Campagnola X195g;$420;;;Precio regular: $1.400 x kg;352096
LA PERLA;Pan Para Panchos La Perla 220g;$770;;;Precio regular: $3.500 x kg;401116
GREEN HILLS;Té Green Hills Saquitos 200 Gr;$2.250;;;Precio regular: $11.250 x kg;2780
CUISINE & CO NBE MP;Palitos Salados Cuisine & Co 120gr;$858;;;Precio regular: $7.150 x kg;329447
CELUSAL;Sal Fina Celusal 500 Gr;$573;;;Precio regular: $1.146 x kg;2961
TARAGUI;Yerba Mate Taragui 4flex Sin Palo 500g;$1.841;;;Precio regular: $3.682 x kg;318736
CUISINE & CO NBE MP;Mermelada Durazno Reducida Calorias C&co;$1.250;;;Precio regular: $3.205,13 x kg;309184
LA MERCED;Yerba Mate La Merced Monte O.c 500g;$1.803,9;$2.577;-30%;Precio regular: $5.154 x kg;318739
BIMBO;Vainillas Bimbo X 36u;$1.839;;;Precio regular: $4.132,58 x kg;389439
LADDU BAR;Barra Laddu Bar Vegana Brownie X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.;374131
SHOT;Chocolate Con Maní Shot 90g;$871,82;;;Precio regular: $9.686,89 x kg;28764
CEREAL MIX;Barras De Cereal Arcor Mix Original X 92 G;$1.453;;;Precio regular: $15.793,48 x kg;347649
ARCOR;Mermelada Arcor Frutilla Fruta X454g;$1.543;;;Precio regular: $3.398,68 x kg;337044
CACHAFAZ;Galletitas Cachafaz;$1.666;;;Precio regular: $7.404,44 x kg;28204
BELDENT;Chicle Menta Beldent Infinit 13,3g;$348;;;Precio regular: $2.676,92 x 100 gr.;385568
LACTAL;Pan De Pancho Lactal X 210g;$826;;;Precio regular: $3.933,33 x kg;386813
KINDER;Kinder Chocolate 4 U;$703;;;Precio regular: $1.406 x 100 gr.;20477
NOBLEZA GAUCHA;Yerba Mate Nobleza Gaucha Suave X1kg Sin Tacc;$2.600;;;Precio regular: $2.600 x kg;343640
LAY´S;Papas Fritas Lays Jamon Serrano X34g;$512,85;$789;-35%;Precio regular: $2.320,59 x 100 gr.;395388
LA MORENITA;Café La Morenita Molido 250gr;$2.398;;;Precio regular: $9.592 x kg;331872
LA VIRGINIA;Te La Virginia Naturalidad Intacta X50 Saquitos;$1.249;;;Precio regular: $24,98 x un;336664
CABRALES;Capsulas Cabrales Super X55g;$4.980,66;;;Precio regular: $90.557,45 x kg;335434
HILERET;Endulzante Hileret Stevia X 200 Ml;$2.455;;;Precio regular: $12.275 x lt;22373
ARCOR;Mermelada Arcor Light Durazno X390g;$878;;;Precio regular: $2.251,28 x kg;340562
CUISINE & CO NBE MP;Biscuits Cuisine & Co 125gr;$800;;;Precio regular: $6.400 x kg;340096
OREO;Galletitas Dulces Rellenas Con Crema Oreo 182,5g;$1.145;;;Precio regular: $6.361,11 x kg;387754
Kit Kat;Oblea Kitkat® Dark 4 Fingers X 41,5gr;$412,42;;;Precio regular: $993,78 x 100 gr.;238229
NESCAFE;Nescafé® Dolca Latte X 125gr;$962;2do al 70%;Llevando 2: $625,3 c/u;Precio regular: $7.696 x kg;348305
MAGGI;Maggi® Caldo Verdura X 12u.;$358,73;;;Precio regular: $3.146,75 x kg;339440
INALPA;Granos De Choclo Amarillos Inalpa Enteros X300;$1.100;;;Precio regular: $3.666,67 x kg;346908
NATURA;Aderezo Ketchup Natura 500 Gr;$806,65;$1.241;-35%;Precio regular: $2.482 x kg;36047
ROCKLET´S;Confites Rocklets De Chocolate 40 Gr;$594;;;Precio regular: $1.485 x 100 gr.;13425
FRUTIGRAN;Galletitas Frutigran Con Chia Y Lino 240 Gr;$608,91;;;Precio regular: $2.537,13 x kg;32476
CUISINE & CO NBE MP;Ananá En Rodajas Cuisine & Co 140 Gr;$1.445;;;Precio regular: $10.321,43 x kg;309822
COCINERO;Aceto Balsamico Cocinero Reduccion;$3.952;;;Precio regular: $7.904 x lt;287992
LADDU BAR;Barra Laddu Bar Vegan Frutos Rojos X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.;374145
MANI KING;Garrapiñada Mani King - 80 Gr;$477,36;;;Precio regular: $5.967 x kg;305803
BON O BON;Bon O Bon Leche 270 Gr;$4.137;;;Precio regular: $15.322,22 x kg;251552
LA CAMPAGNOLA;Jardinera La Campagnola Hortalizas Y Legumbres X300g;$570;;;Precio regular: $1.900 x kg;392887
EXQUISITA;Brownies Exquisita X400gr;$3.398;;;Precio regular: $8.495 x kg;348283
NESTLE;Nestlé® Leche Condensada Orgánica X 395gr;Llevando 2: $NaN c/u;;;Precio regular: $5.159,49 x kg;406473
MR POP´S;Chupetin Mr.pops Evolution Blueberry 432 Gr;$1.171,04;;;Precio regular: $2.710,74 x kg;245719
TRIX;Trix® Cereal X 330gr;$1.682,28;;;Precio regular: $5.097,82 x kg;152632
CUISINE & CO NBE MP;Tostadas Clasicas 200 Gr Cuisine & Co;$1.350;;;Precio regular: $6.750 x kg;309295
CUISINE & CO NBE MP;Granola Con Pasas Cuisine&co 320gr;$2.500;;;Precio regular: $7.812,5 x kg;394778
TIC TAC;Pastillas Tic Tac Naranja 33 U;$220;;;Precio regular: $1.375 x 100 gr.;40548
HEINZ;Mayonesa Heinz 850gr;$2.600;;;Precio regular: $3.058,82 x kg;258197
MATARAZZO;Fideos Matarazzo Penne Rigate N45 X500g;$1.335;;;Precio regular: $2.670 x kg;403653
NATURA;Mostaza Natura;Llevando 2: $NaN c/u;;;Precio regular: $2.008 x kg;26681
NATURA;Aceite De Oliva Natura Virgen 120 Ml;$2.152;;;Precio regular: $17.933,33 x kg;45344
BIMBO;Vainillas Bimbo X 12u;$685;;;Precio regular: $4.628,38 x kg;389443
COQUITAS;Galletitas Melitas 159g;$400;;;Precio regular: $2.515,72 x kg;388352
GREEN HILLS;Té Green Hills - 25 Saquitos;$650;;;Precio regular: $1.300 x 100 gr.;2752
COFLER;Alfajor Cofler Block 60 Gr;$544;;;Precio regular: $9.066,67 x kg;238894
ROYAL;Gelatina Royal Regular Frambuesa X25g;$327;;;Precio regular: $1.308 x 100 gr.;386592
TERRABUSI;Alfajor Terrabusi Blanco Glaseado 6ux38g;$1.874;;;Precio regular: $8.219,3 x kg;43456
CUISINE & CO NBE MP;Maíz Pisingallo Cuisine & Co 400gr;$1.050;;;Precio regular: $2.625 x kg;340517
QUAKER;Quaker Avena Tradicional X550g;$1.568;;;Precio regular: $2.850,91 x kg;388990
FARGO;Pan Para Hamburguesas Sin Semillas Fargo 210g;$1.066;;;Precio regular: $5.076,19 x kg;397671
LA VIRGINIA;Cafe La Virginia Capsulas Equilibrio X52g;$4.502;;;Precio regular: $450,20 x un;346858
LADDU BAR;Barra Laddu Bar Vegana Arandanos X 30g;$478;;;Precio regular: $1.593,33 x 100 gr.;374136
CARILÓ;Tostadas De Arroz Cariló Original 150 Gr;$1.250;;;Precio regular: $8.333,33 x kg;456
HELLMANN´S;Salsa Barbacoa Hellmanns 250g;$418,6;$644;-35%;Precio regular: $2.576 x kg;332239
CUISINE & CO NBE MP;Mermelada De Ciruela Cuisine & Co;$1.300;;;Precio regular: $2.857,14 x kg;309408
NESCAFE;Nescafé® Dolca Original X 170gr;$2.370;;;Precio regular: $13.941,18 x kg;407846
ALICANTE;Pimenton Alicante St X25g;$565;;;Precio regular: $2.260 x 100 gr.;342886
NESCAFE;Nescafé® Dolce Gusto® Capuccino Dulce De Leche X 16u.;$4.089,49;;;Precio regular: $15.146,26 x kg;399823
SALSATI;Salsa Salsati Italiana X340g;$479;;;Precio regular: $1.408,82 x kg;336621
SHIVA;Shiva Mix De Semillas X 100 G Sin Tacc;$1.518;;;Precio regular: $15.180 x kg;336441
LA PARMESANA;Orégano La Parmesana 25 Gr;$252;;;Precio regular: $1.008 x 100 gr.;25682
DOS ANCLAS;Sal Entrefina Dos Anclas 500 Gr;$700;;;Precio regular: $1.400 x kg;24638
CROWIE;Barrita De Arroz Crowie Chocolate Negro 3 U;$769;;;Precio regular: $6.408,33 x 100 gr.;254420
MATARAZZO;Fideos Matarazzo Tallarín N5 X500g;$1.075;;;Precio regular: $2.150 x kg;407200
HELLMANN´S;Mayonesa Hellmanns Liviana 237g;$529;;;Precio regular: $2.232,07 x kg;386228
BIMBO;Madalenas Rellenas Con Ddl Bimbo X 180g;$777;;;Precio regular: $4.089,47 x kg;387541
NESCAFE;Nescafé® Tradición X 120gr;$2.196;;;Precio regular: $18.300 x kg;385759
SUGUS;Caramelos Sugus Confitadosx50gr;$405,12;;;Precio regular: $810,24 x 100 gr.;379482
HEINZ;Mayonesa Heinz Light Doy-pack X350gr;$1.400;;;Precio regular: $3.977,27 x kg;299835
JORGITO;Alfajores Mini Jorgito Blanco 155 Gr;$1.359,12;;;Precio regular: $8.768,52 x kg;29327
HELLMANN´S;Aderezo De Ajo Ahumado Hellmanns X250gr;$644,15;$991;-35%;Precio regular: $3.964 x kg;383754
HILERET;Endulzante Hileret Zucra X 400 Ml;$2.910;;;Precio regular: $7.275 x lt;22439
ARCOR;Chupetín Trompito Frutal 11 Gr;$1.903;;;Precio regular: $16.153,13 x 100 gr.;16756
AGUILA;Alfajor Minitorta Brownie 69 G;$620;;;Precio regular: $8.732,39 x kg;350366
BELDENT;Chicle Mentol Beldent 20g;$275;;;Precio regular: $2.750 x 100 gr.;329809
LA CAMPAGNOLA;Porotos La Campagnola Alubia X300g;$581;;;Precio regular: $1.936,67 x kg;349547
DULCE MAMA;Budin Dulce Mamá Marmolado 170g;$399;;;Precio regular: $2.347,06 x kg;315180
OKEBON;Galletitas Okebon Leche Con Dulce De Leche 273 Gr;$458,43;;;Precio regular: $1.679,23 x kg;1522
MOLTO;Duraznos En Trozos Molto 340g;$667;;;Precio regular: $1.961,76 x kg;391529
LUCHETTI;Fideos Lucchetti Penne Rigatex500g;$993;;;Precio regular: $1.986 x kg;407197
CUISINE & CO NBE MP;Madalenas Chocolate Con Ddl C&co 180 G;$776,88;;;Precio regular: $4.316 x kg;386234
DONUTS;Galletitas Donuts Chocolate Blanco 78 Gr;$860;;;Precio regular: $11.025,64 x kg;15426
PRESTOPRONTA;Harina Presto Pronta De Maíz Precocida X730;$860;;;Precio regular: $1.178,08 x kg;347787
CELUSAL;Sal Fina Celusal 500 Gr;$1.350;;;Precio regular: $2.700 x kg;2955
CASERITA;Harina Caserita Comun Para Pizza Paquete 1 Kg;$799;;;Precio regular: $799 x kg;118666
CHEETOS;Palitos De Maiz Cheetos Queso X43g;$855;;;Precio regular: $1.988,37 x 100 gr.;394948
HELLMANN´S;Ketchup Hellmanns X400g;Llevando 2: $NaN c/u;;;Precio regular: $4.640 x kg;350079
KINDER;Huevo Kinder Sorpresa X40gr;$1.350;;;Precio regular: $3.375 x 100 gr.;243817
LA CAMPAGNOLA;Mayonesa La Campagnola X1000g;$1.440;;;Precio regular: $1.440 x kg;349202
MINERVA;Jugo De Limon Minerva X250 Ml;$582;;;Precio regular: $2.328 x lt;248605
ROCKLET´S;Confites Rocklets Mini 150 Gr;$1.610;;;Precio regular: $10.733,33 x kg;37617
GRANIX;Bocaditos De Cereal Rellenos Con Frutilla Granix 180 Gr;$752,9;;;Precio regular: $4.182,78 x kg;13277
GEORGALOS;Caramelos Flynn Paff Tutti Frutti 128 Gr;$821,75;;;Precio regular: $6.419,92 x kg;1832
JUMBO MP;Snack De Arroz Jumbo Bajo En Sodio 45 Gr;$241,71;;;Precio regular: $537,13 x 100 gr.;15215
HILERET;Endulzante Hileret Clasico Forte X 250 Ml;$1.246;;;Precio regular: $4.984 x lt;331220
9 DE ORO;Pepas 9 De Oro Membrillo X140g;$444,53;;;Precio regular: $3.175,21 x kg;403111
MAZOLA;Aceite De Girasol Mazola Manteca 120 Ml;$1.565;;;Precio regular: $12.520 x lt;41226
GALLO;Gallo Snacks Oblea De Arroz Chocobar 20 Gr.;$468;;;Precio regular: $2.340 x 100 gr.;7557
NESQUIK;Nesquik® Cereal X 210gr;$1.320,55;;;Precio regular: $6.288,33 x kg;392429
CUISINE & CO NBE MP;Aceite De Oliva Extra Virgen 1l Cuisine & Co;$24.800;;;Precio regular: $24.800 x lt;337885
ALICANTE;Aji Molido Alicante X50gr;$921;;;Precio regular: $1.842 x 100 gr.;339384
CUISINE & CO NBE MP;Porotos Cuisine & Co 300gr;$950;;;Precio regular: $4.634,15 x kg;343438
CUISINE & CO NBE MP;Mermelada Ciruela Reducida Calorias C&co;$1.350;;;Precio regular: $3.461,54 x kg;309187
KINDER;Chocolate Kinder Relleno X 20 Gr;$350;;;Precio regular: $1.750 x 100 gr.;22475
BAGLEY NEGRO;Alfajor Byn Bagley Blanco X50g;$431;;;Precio regular: $862 x 100 gr.;396717
LA PERLA;Pan Para Hamburguesa La Perla 210g;$770;;;Precio regular: $3.666,67 x kg;401120
VALENTE;Vainillas Valente X 36u;$1.652;;;Precio regular: $3.712,36 x kg;389429
CHOCOARROZ;Alfajor Chocoarroz Dulce De Leche 22g;$520;;;Precio regular: $2.363,64 x 100 gr.;330530
DOS ANCLAS;Ajo Deshidratado Dos Anclasx20g;$500;;;Precio regular: $2.500 x 100 gr.;347326
BANANITA DOLCA;Nestlé® Bananita Dolca X 14gr;$325;;;Precio regular: $2.321,43 x 100 gr.;407855
FORMIS;Galletitas Polvorita Vainilla 81g;$254;;;Precio regular: $3.135,8 x kg;386131
MENOYO;Vinagre De Manzana Menoyo 1 L;$1.400;;;Precio regular: $1.400 x lt;167951
MACROBIOTICA;Galletas De Arroz Macrobioticas Sésamo Y Lino 102 Gr;$349;;;Precio regular: $3.421,57 x kg;26211
