Brand;Description;Final_price;Original_price;Discount;Regular_price;Regular_price_measure;Regular_price_un;timestamp
PLAYADITO;Yerba Mate Playadito Suave X1kg;1979.87;3045.95;-35%;3045.95;1;kg;2023-12-26 16:47:31.842
OREO;Galletitas Dulces Rellenas Con Crema Oreo 354g;1061.45;1633.0;-35%;4612.99;1;kg;2023-12-26 16:47:31.842
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 357g;999.7;1538.0;-35%;4394.29;1;kg;2023-12-26 16:47:31.842
LEDESMA;Azúcar Ledesma Molida Clasico 1 Kg;1295.0;;;1295.0;1;kg;2023-12-26 16:47:31.842
LA CAMPAGNOLA;Atun La Campagnola Al Natural X170g;1990.0;;;11705.88;1;kg;2023-12-26 16:47:31.842
MAÑANITA;Yerba Mate Mañanita 4flex 1kg;2579.85;;;2579.85;1;kg;2023-12-26 16:47:31.842
LA CAMPAGNOLA;Atun La Campagnola En Aceite X170g;1990.0;;;11705.88;1;kg;2023-12-26 16:47:31.842
;Caja Navideña Negra 1 U;7468.5;11490.0;-35%;11490.0;1;un;2023-12-26 16:47:31.842
NESCAFE;Nescafé® Dolca Suave X 170gr;2715.33;;Llevando 2: $1357.66 c/u;15972.53;1;kg;2023-12-26 16:47:31.842
ARTESANO;Pan Blanco Bimbo Artesano X 500g;2450.0;;;4900.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Duraznos En Mitades Cuisine & Co;843.7;1298.0;-35%;2676.29;1;kg;2023-12-26 16:47:31.842
COCA COLA;Gaseosa Coca-cola Sabor Original 2,5 Lt;2383.5;;;953.4;1;lt;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Azucar Cuisine & Co 1kg;1228.75;;;1228.75;1;kg;2023-12-26 16:47:31.842
LA MERCED;Yerba Mate La Merced Campo O.c 500g;1982.3;;;3964.6;1;kg;2023-12-26 16:47:31.842
LEDESMA;Azúcar Ledesma Molida 1 Kg;1184.18;;;1184.18;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Señor Pure De Tomate Cuisine & Co 520 Gr;609.4;;;1171.92;1;kg;2023-12-26 16:47:31.842
DORITOS;Doritos Sabor Queso X200g;2353.5;3138.0;-25%;15690.0;1;kg;2023-12-26 16:47:31.842
RUMBA;Galletitas Rumba 324g;1190.0;;;3718.75;1;kg;2023-12-26 16:47:31.842
TERRABUSI;Alfajor Terrabusi Chocolate Clásico 6ux50g;1774.0;;;5913.33;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Palmitos Trozos Cuisine & Co;2381.0;;;10822.73;1;kg;2023-12-26 16:47:31.842
UNION;Yerba Mate Unión 4flex 1kg;2423.4;;;2423.4;1;kg;2023-12-26 16:47:31.842
OREO;Galletitas Dulces Rellenas Con Crema Oreo 118g;364.65;561.0;-35%;4754.24;1;kg;2023-12-26 16:47:31.842
NESQUIK;Nesquik® Original Polvo Chocolatado X 800gr;3597.72;;Llevando 2: $2.158,63 c/u;4497.15;1;kg;2023-12-26 16:47:31.842
DIVERSION;Galletitas Surtido Diversion X398g;907.0;;;2325.64;1;kg;2023-12-26 16:47:31.842
OPERA;Galletitas ópera Agrupadas 220 Gr;792.0;;;3600.0;1;kg;2023-12-26 16:47:31.842
Molinos Ala;Arroz Molinos Ala Parboil Gs X1kg;1746.0;;;1746.0;1;kg;2023-12-26 16:47:31.842
PUREZA;Aceite Girasol Pureza 1,5l;2209.0;;;1472.67;1;lt;2023-12-26 16:47:31.842
CHOCOLINAS;Galletitas Chocolinas X262g;770.0;;;2961.54;1;kg;2023-12-26 16:47:31.842
NESCAFE;Nescafé® Dolca Suave X 200gr;2199.09;;Llevando 2: $1.319,45 c/u;10995.45;1;kg;2023-12-26 16:47:31.842
NESTLE;Nestlé® Leche Condensada Descremada X 395gr;1216.67;;;3379.64;1;kg;2023-12-26 16:47:31.842
PLAYADITO;Yerba Mate Playadito Suave X500gr;1587.94;;;3175.88;1;kg;2023-12-26 16:47:31.842
HELLMANN´S;Mayonesa Hellmann's Clasica Doypack 950 G;1255.0;;;1321.05;1;kg;2023-12-26 16:47:31.842
SURTIDO;Galletitas Surtido Bagley X398g;1050.0;;;2692.31;1;kg;2023-12-26 16:47:31.842
NUCETE;Aceite De Oliva Nucete Extra Virgen X2000ml;23686.88;;;11843.44;1;lt;2023-12-26 16:47:31.842
VANGUARDIA;Arroz Vanguardia Elaborado Largo Fino;1255.5;;;1255.5;1;kg;2023-12-26 16:47:31.842
NESQUIK;Nesquik® Original Polvo Chocolatado X 360gr;1829.67;;Llevando 2: $1.097,8 c/u;5082.42;1;kg;2023-12-26 16:47:31.842
LA MERCED;Yerba Mate La Merced Campo Sur O.c 500g;1982.3;;;3964.6;1;kg;2023-12-26 16:47:31.842
LAY´S;Papas Fritas Lays Clasicas X230g;3138.0;;;13643.48;1;kg;2023-12-26 16:47:31.842
DORITOS;Doritos Queso 140g- X129g;1770.28;;;13617.54;1;kg;2023-12-26 16:47:31.842
LA CAMPAGNOLA;Puré De Tomate La Campagnola 520 Gr;455.0;;;875.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Palmitos Entero 800 Gr Cuisine & Co;5189.0;;;10378.0;1;kg;2023-12-26 16:47:31.842
LAY´S;Papas Fritas Lays Clasicas X134g;1920.3;;;14771.54;1;kg;2023-12-26 16:47:31.842
TARAGUI;Yerba Mate Taragui 4flex 1kg;2487.43;;;2487.43;1;kg;2023-12-26 16:47:31.842
BIMBO;Pan Blanco Bimbo X 550g;2200.0;;;4000.0;1;kg;2023-12-26 16:47:31.842
PEPITOS;Galletitas Dulces Con Chips De Chocolate Pepitos 119g;381.55;587.0;-35%;4891.67;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Vainillas Cuisine&co X36 U;1199.0;;$1.763,54;3971.94;1;kg;2023-12-26 16:47:31.842
OREO;Galletitas Oreo Mini X50g;181.35;279.0;-35%;558.0;100;gr;2023-12-26 16:47:31.842
CBSE;Yerba Mate Cbsé Hierbas Serranas X1kg;2914.0;;;2914.0;1;kg;2023-12-26 16:47:31.842
LUCHETTI;Fideos Lucchetti Tallarín N5 X500g;1026.0;;;2052.0;1;kg;2023-12-26 16:47:31.842
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas X3uni 636g;1425.0;;;2375.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Fideos Spaguetti C&c;879.0;;;1758.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Fideos Tirabuzon C&c 500gr;879.0;;;1758.0;1;kg;2023-12-26 16:47:31.842
DOS HERMANOS;Arroz Dos Hermanos Pairboil 1 Kg;1610.11;;;1610.11;1;kg;2023-12-26 16:47:31.842
TODDY;Galletitas Toddy Chips De Chocolate 126 Gr;565.32;869.72;-35%;6902.54;1;kg;2023-12-26 16:47:31.842
MANTECOL;Postre Mantecol Bajo En Sodio 253g;1995.0;;$2.349;9284.58;1;kg;2023-12-26 16:47:31.842
CHEF;Puré Chef X 100gr;592.0;;;5920.0;1;kg;2023-12-26 16:47:31.842
MANA;Galletitas Mana Vainilla 408g;989.0;;;2472.5;1;kg;2023-12-26 16:47:31.842
TRAVIATA;Galletitas De Agua Traviata 303 Gr;580.0;;;1933.33;1;kg;2023-12-26 16:47:31.842
ARCOR;Surtido Arcor El Kiosco 246g;3536.0;;;14373.98;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Galletitas Con Chips De Chocolate 172gr C&co;801.47;;;4659.71;1;kg;2023-12-26 16:47:31.842
CHOCOLINAS;Galletitas Chocolinas X150g;626.0;;;4064.94;1;kg;2023-12-26 16:47:31.842
CACHAFAZ;Alfajores Mixtos Cachafaz 12 U;7445.0;;;10340.28;1;kg;2023-12-26 16:47:31.842
SONRISAS;Galle Sonrisas Frambuesa X324g;1086.0;;;3351.85;1;kg;2023-12-26 16:47:31.842
LA MERCED;Yerba Mate La Merced Barcbacua O.c 500g;1982.3;;;3964.6;1;kg;2023-12-26 16:47:31.842
NUCETE;Aceite De Oliva Nucete Clásico 500 Ml;8301.4;;;16602.8;1;lt;2023-12-26 16:47:31.842
LAY´S;Papas Fritas Lays Clasicas X85g;1191.0;1588.0;-25%;19850.0;1;kg;2023-12-26 16:47:31.842
FERRERO;Bombones Ferrero Rocher 8 U;1748.09;;;17480.9;1;kg;2023-12-26 16:47:31.842
NESCAFE;Nescafé® Tradición X 170gr;1854.7;2853.39;-35%;16784.65;1;kg;2023-12-26 16:47:31.842
HELLMANN´S;Mayonesa Hellmanns Liviana 475g;699.0;;;1471.58;1;kg;2023-12-26 16:47:31.842
BIMBO;Pan Para Hamburguesa Con Sésamo Bimbo X 4u;910.0;;;4333.33;1;kg;2023-12-26 16:47:31.842
AGUILA;Chocolate Aguila Para Taza 150 Gr;1908.4;;;12722.67;1;kg;2023-12-26 16:47:31.842
REX;Galletitas Rex Original 125 Gr;477.0;;;3816.0;1;kg;2023-12-26 16:47:31.842
NESCAFE;Café Nescafe Gold En Granos X100g;4331.97;;;43319.7;1;kg;2023-12-26 16:47:31.842
MATARAZZO;Fideos Matarazzo Tirabuzón N34 X500g;1292.0;;;2584.0;1;kg;2023-12-26 16:47:31.842
ARCOR;Turrón De Maní Arcor 25 Gr;177.0;;Llevando 3: $118.00 c/u;708.0;100;gr;2023-12-26 16:47:31.842
MILKA;Alfajor Triple Oreo 56g;419.06;;;7483.21;1;kg;2023-12-26 16:47:31.842
MAÑANITA;Yerba Mate Mañanita 4flex 1/2kg;1410.86;;;2821.72;1;kg;2023-12-26 16:47:31.842
VARIEDAD;Galletitas Dulces Variedad De Terrabusi Nuevo Mix 390g;1059.0;;;2715.38;1;kg;2023-12-26 16:47:31.842
LA CAMPAGNOLA;Lomo De Atún Libre De Gluten La Campagnola 300 Gr;3110.0;;;10366.67;1;kg;2023-12-26 16:47:31.842
Kit Kat;Oblea Kitkat® Leche 4 Fingers X 41,5gr;448.39;;Llevando 2: $336,29 c/u;1080.46;100;gr;2023-12-26 16:47:31.842
SALSATI;Puré De Tomate Salsati 520 Gr;413.0;;;794.23;1;kg;2023-12-26 16:47:31.842
MAGGI;Maggi® Puré Original X 200gr;792.2;;;3961.0;1;kg;2023-12-26 16:47:31.842
ARTESANO;Pan Integral Bimbo Artesano X 500g;2594.0;;;5188.0;1;kg;2023-12-26 16:47:31.842
BIMBO;Pan De Hamburguesa Bimbo Artesano | 4u;1200.0;;;5000.0;1;kg;2023-12-26 16:47:31.842
LAY´S;Papas Lays Clasicas X40g;859.0;;;2147.5;100;gr;2023-12-26 16:47:31.842
KESITAS;Galletitas Kesitas 75 Gr;465.0;;;6200.0;1;kg;2023-12-26 16:47:31.842
AZUCEL;Azúcar Azucel Común Tipo A - 1 Kg;1190.66;;;1190.66;1;kg;2023-12-26 16:47:31.842
TRAVIATA;Galletitas Traviata X506g;1146.0;;;2264.82;1;kg;2023-12-26 16:47:31.842
KNORR;Caldo Knorr De Verduras X 12 Cubos;645.0;;;1290.0;100;gr;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Don Triturado Cuisine & Co 910 Gr;1299.0;;;1427.47;1;kg;2023-12-26 16:47:31.842
LUCHETTI;Fideos Lucchetti Tirabuzón N34 X500g;1026.0;;;2052.0;1;kg;2023-12-26 16:47:31.842
SONRISAS;Galletitas Sonrisas Frambuesa X108g;335.0;;;3101.85;1;kg;2023-12-26 16:47:31.842
LACTAL;Pan Salvado Lactal X 330g;1128.0;;;3418.18;1;kg;2023-12-26 16:47:31.842
GREEN HILLS;Té Green Hills- 50 Saquitos;1152.98;;;11529.8;1;kg;2023-12-26 16:47:31.842
LACTAL;Pan Blanco Lactal X 460g;1388.0;;;3017.39;1;kg;2023-12-26 16:47:31.842
AMOR;Galletitas Amor 108g;435.0;;;4350.0;1;kg;2023-12-26 16:47:31.842
CASALTA;Vinagres De Alcohol Casalta X1300ml;940.67;;;723.59;1;lt;2023-12-26 16:47:31.842
ARCOR;Pure De Tomate Arcor X530g;447.0;;;843.4;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Vainillas Cuisine&co X12 U;547.81;;;3701.42;1;kg;2023-12-26 16:47:31.842
LA MERCED;Yerba Mate La Merced Campo&monteo.c 500g;1982.3;;;3964.6;1;kg;2023-12-26 16:47:31.842
ANILLOS;Galletitas Dulces Anillitos Clásicos De Terrabusi 170g;453.0;;;2664.71;1;kg;2023-12-26 16:47:31.842
HELLMANN´S;Mayonesa Hellmanns Clasica Dp X475g;803.0;;;1690.53;1;kg;2023-12-26 16:47:31.842
PUREZA;Harina Pureza Integral100%;599.0;;;599.0;1;kg;2023-12-26 16:47:31.842
PUREZA;Aceite Girasol Pureza 0,9l;1430.0;;;1588.89;1;lt;2023-12-26 16:47:31.842
NUTELLA;Nutella 350gr;1834.07;;;5240.2;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Palmitos Trozos 800 Gr Cuisine & Co;4450.0;;;8900.0;1;kg;2023-12-26 16:47:31.842
HELLMANN´S;Ketchup Hellmanns X250g;439.0;;$593;2502.11;1;kg;2023-12-26 16:47:31.842
DOS ANCLAS;Sal Fina Dos Anclas 500 Gr;530.0;;;1060.0;1;kg;2023-12-26 16:47:31.842
La Providencia;Galletita Cracker La Providencia Clasica X303gr;465.93;;;1553.1;1;kg;2023-12-26 16:47:31.842
MOGUL;Gomitas Arcor Mogul Rollo 12 Gr;299.0;;;2491.67;100;gr;2023-12-26 16:47:31.842
LA MOLISANA;Pure De Tomate La Molisana Passata X690gr;3509.0;;$4.375;6340.58;1;kg;2023-12-26 16:47:31.842
HELLMANN´S;Mayonesa Hellmanns Liviana 950g;1257.0;;;1323.16;1;kg;2023-12-26 16:47:31.842
OPERA;Galletitas Opera 55 Gr;232.0;;;4218.18;1;kg;2023-12-26 16:47:31.842
DORITOS;Doritos Queso X77g;1098.0;1464.0;-25%;18300.0;1;kg;2023-12-26 16:47:31.842
FARGO;Pan Integral Grano Entero Fargo X 350g;1850.0;;;5285.71;1;kg;2023-12-26 16:47:31.842
OREO;Galletitas Dulces Rellenas Con Crema Oreo Vainilla 354g;1105.65;1701.0;-35%;4805.08;1;kg;2023-12-26 16:47:31.842
PEPITOS;Galletitas Pepitos Mini X50g;182.0;280.0;-35%;560.0;100;gr;2023-12-26 16:47:31.842
CEREALITAS;Galletitas Cracker Cereal Cerealitas Clásicas 212g;557.0;;;2652.38;1;kg;2023-12-26 16:47:31.842
BELDENT;Chicle Mentabeldent 20g;221.0;;;2210.0;100;gr;2023-12-26 16:47:31.842
MILKA;Alfajor Simple Milka Mousse 6ux42g;2113.0;;;5030.95;100;gr;2023-12-26 16:47:31.842
VOCACION;Galletitas Merengadas Frutilla X88g;437.0;;;5462.5;1;kg;2023-12-26 16:47:31.842
MANTECOL;Postre Mantecol 111g;939.0;;$1.109;9990.99;1;kg;2023-12-26 16:47:31.842
LEGITIMO;Aceite Girasol Legitimo X900cc;1382.0;;;1535.56;1;lt;2023-12-26 16:47:31.842
FERRERO;Bombones Ferrero Rocher 24 U;5062.36;;;210.93;1;un;2023-12-26 16:47:31.842
SAVORA;Mostaza Savora Original X500gr;743.0;;;1486.0;1;kg;2023-12-26 16:47:31.842
PEPITOS;Alfajor Triple Pepitos 57g;410.27;;;7197.72;1;kg;2023-12-26 16:47:31.842
KINDER;Kinder Bueno;620.16;;;1442.23;100;gr;2023-12-26 16:47:31.842
MILKA;Alfajor Triple Milka Mousse 55g;400.44;;;7280.73;1;kg;2023-12-26 16:47:31.842
CACHAFAZ;Galletitas Cachafaz Granola;1487.0;;;6608.89;1;kg;2023-12-26 16:47:31.842
LA CAMPAGNOLA;Mermelada La Campagnola Frutill X390g Bc;1832.0;;;4697.44;1;kg;2023-12-26 16:47:31.842
MEDIA TARDE;Galletitas Mediatarde X315g;649.0;;;2060.32;1;kg;2023-12-26 16:47:31.842
NUCETE;Aceite De Oliva Nucete Virgen Lata X500;9179.13;;;18358.26;1;lt;2023-12-26 16:47:31.842
BAGLEY;Galletas Cereales Bagley Salvado X507g;1153.0;;;2274.16;1;kg;2023-12-26 16:47:31.842
PUREZA;Harina Pureza Leudante Ultra Ref X1kg;519.99;;;519.99;1;kg;2023-12-26 16:47:31.842
LAY´S;Papas Fritas Lays Queso Y Cebolla X77g;1384.0;;;17300.0;1;kg;2023-12-26 16:47:31.842
SALADIX;Galletitas Saladix Pizza 100 Gr;599.0;;;5990.0;1;kg;2023-12-26 16:47:31.842
VIGENTE;Pure De Tomate Vigente Brick 520 G;609.95;;;1172.98;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Garbanzos Cuisine & Co 300gr;658.0;;;3209.76;1;kg;2023-12-26 16:47:31.842
TARAGUI;Mate Cocido Taragui S/e F.diamantado 5x50x3gr.;973.3;;;6488.67;1;kg;2023-12-26 16:47:31.842
SHOT;Alfajor Shot Triple Relleno De Chocolate Con Maní 60g;436.78;;;7279.67;1;kg;2023-12-26 16:47:31.842
SALADIX;Galletitas Saladix Pizza X 30grs;186.0;;;620.0;100;gr;2023-12-26 16:47:31.842
COFLER;Chocolate Cofler Block Con Maní 110 Gr;1154.0;;;10490.91;1;kg;2023-12-26 16:47:31.842
HILERET;Endulzante Hileret Light X 500 Gr;1310.4;;;2620.8;1;kg;2023-12-26 16:47:31.842
MILKA;Bombón De Chocolate Milka Oreo 19g;119.62;;;629.58;100;gr;2023-12-26 16:47:31.842
FERRERO;Bombones Ferrero Rocher 3 U;624.92;;;1644.53;100;gr;2023-12-26 16:47:31.842
DORITOS;Nachos Doritos Sabor Queso X40g;859.0;;;2147.5;100;gr;2023-12-26 16:47:31.842
FARGO;Pan Salvado Plus Fargo X 600g;2450.0;;;4083.33;1;kg;2023-12-26 16:47:31.842
PASEO;Galletitas Paseo Cinco Semillas 250gr;431.0;;;1724.0;1;kg;2023-12-26 16:47:31.842
HILERET;Endulzante Hileret Clasico Forte X 500 Ml.;1652.56;;;3305.12;1;lt;2023-12-26 16:47:31.842
LA ESPAÑOLA GOURMET;Lentejas La Española Gourmet 400 Gr;803.45;;;2008.63;1;kg;2023-12-26 16:47:31.842
BON O BON;Oblea Bañada Rhodesia 22gr;305.0;;;1386.36;100;gr;2023-12-26 16:47:31.842
RHODESIA;Oblea Rhodesia Clásica 4ux22g;1167.0;;;13261.36;1;kg;2023-12-26 16:47:31.842
OROWEAT;Pan Con Cereales Oroweat X 600g;2891.0;;;4818.33;1;kg;2023-12-26 16:47:31.842
PRESTOPRONTA;Harina De Maíz Presto Pronta 500 Gr;566.0;;;1132.0;1;kg;2023-12-26 16:47:31.842
CELUSAL;Sal Fina Celusal 500 Gr;397.0;;;794.0;1;kg;2023-12-26 16:47:31.842
DOS ANCLAS;Sal Fina Dos Anclas X500gr;540.0;;;1080.0;1;kg;2023-12-26 16:47:31.842
PRINGLES;Papas Pringles Crema Y Cebolla X124g;1856.96;;;15474.67;1;kg;2023-12-26 16:47:31.842
ARTESANO;Pan De Semillas Bimbo Artesano X 500g;2594.0;;;5188.0;1;kg;2023-12-26 16:47:31.842
MILKA;Alfajor Triple Milka Dulce De Leche 70g;383.01;;;5471.57;1;kg;2023-12-26 16:47:31.842
CACHAFAZ;Galletitas Integral Cachafaz Avena Con Chips De Chocolate 225 Gr;1487.0;;;6608.89;1;kg;2023-12-26 16:47:31.842
CASERITA;Harina Caserita 000 1 Kg;581.0;;;581.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Champignones Laminados Cuisine & Co;1861.0;;;8091.3;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Lentejas Cuisine & Co 300gr;684.0;;;3336.59;1;kg;2023-12-26 16:47:31.842
VERDEFLOR;Yerba Mate Verdeflor Con Palo Hierbas 500 Gr;;;;2980.3;1;kg;2023-12-26 16:47:31.842
CACHAFAZ;Conito Cachafaz De Chocolote 228 Gr;3434.0;;;15061.4;1;kg;2023-12-26 16:47:31.842
JUMBO MP;Fideos Spaghetti Jumbo 500 Gr;765.0;;;1530.0;1;kg;2023-12-26 16:47:31.842
SHOT;Chocolate Con Maní Shot 35g;407.0;;;1162.86;100;gr;2023-12-26 16:47:31.842
QUAKER;Quaker Avena Instantanea X500g;1568.0;;;3.14;1;kg;2023-12-26 16:47:31.842
ARTESANO;Pan De Panchos Bimbo Artesano X 6u;1200.0;;;5000.0;1;kg;2023-12-26 16:47:31.842
GRANIX;Copos De Maíz Tradicionales Granix 400 Gr;780.55;;;1951.38;1;kg;2023-12-26 16:47:31.842
LA CAMPAGNOLA;Mermelada La Campagnola Aranda X390g Bc;1816.0;;;4656.41;1;kg;2023-12-26 16:47:31.842
LAY´S;Papas Fritas Lays Jamon Serrano X77g;1588.0;;;19850.0;1;kg;2023-12-26 16:47:31.842
STARBUCKS;Starbucks® Nespresso® Blonde Espresso X 10un;4185.47;;;418.55;1;un;2023-12-26 16:47:31.842
9 DE ORO;Bizcochos 9 De Oro Agridulces 100g;448.0;;;4480.0;1;kg;2023-12-26 16:47:31.842
DOS ANCLAS;Sal Gruesa Dos Anclas 500 Gr;436.0;;;872.0;1;kg;2023-12-26 16:47:31.842
MATARAZZO;Fideos Matarazzo Penne X500g;1110.0;;;2220.0;1;kg;2023-12-26 16:47:31.842
LINCOLN;Galletitas Lincoln Clasicas X219g;708.0;;;3218.18;1;kg;2023-12-26 16:47:31.842
HOJALMAR;Galletitas Hojalmar Triangulitos De Hojaldre 150 Gr;414.0;;;2760.0;1;kg;2023-12-26 16:47:31.842
FARGO;Pan Mix De Cereales Fargo X 400g;1658.0;;;4145.0;1;kg;2023-12-26 16:47:31.842
BAGLEY;Alfajor Triple Negro Bob 60 Gr;587.0;;;9783.33;1;kg;2023-12-26 16:47:31.842
OREO;Galletitas Dulces Rellenas Con Crema Sabor Frutilla Oreo 118g;;;;5033.9;1;kg;2023-12-26 16:47:31.842
SWIFT;Picadillo De Carne Swift 90 Gr;370.0;;;4111.11;1;kg;2023-12-26 16:47:31.842
LA CAMPAGNOLA;Mermelada La Campagnola Ciruela X390g Bc;1135.0;;;2910.26;1;kg;2023-12-26 16:47:31.842
HOGAREÑAS;Galletitas Hogareñas Salvado 200g;416.0;;;2080.0;1;kg;2023-12-26 16:47:31.842
FRANCE;Pan Dulce France Con Frutas Paquete 400 Grs.;;;;2997.5;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Jardinera Cuisine & Co 300gr;687.0;;;3122.73;1;kg;2023-12-26 16:47:31.842
TARAGUI;Té Taragui S/e Filtro Diamantado X 50saq;735.89;;;7358.9;1;kg;2023-12-26 16:47:31.842
ROYAL;Gelatina Royal Frutilla Regular 25g;246.0;;;984.0;100;gr;2023-12-26 16:47:31.842
DUQUESA;Galletitas Dulces Rellenas Con Crema Duquesa De Terrabusi 115g;202.0;;;1756.52;1;kg;2023-12-26 16:47:31.842
Maxima MP;Atún Desmenuzado Maxima Te Conviene En Agua Y En Aceite 120 Gr;1029.0;;;8575.0;1;kg;2023-12-26 16:47:31.842
LACTAL;Pan Blanco Lactal X 315g;962.0;;;3103.23;1;kg;2023-12-26 16:47:31.842
CASALTA;Aceto Balsámico Casalta Redución 400 Ml;3761.43;;;9403.58;1;lt;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Galletitas Con Avena Y Pasas 186gr C&c;789.73;;;4245.86;1;kg;2023-12-26 16:47:31.842
BIMBO;Pan Blanco Bimbo X 400g;1508.0;;;3770.0;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Tu Polenta - Harina De Maiz Instantanea;366.45;;;732.9;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Mermelada De Durazno Cuisine & Co;776.41;;;1706.4;1;kg;2023-12-26 16:47:31.842
CUISINE & CO NBE MP;Galletitas C/chips Chocolate 186grc&c;789.73;;;4245.86;1;kg;2023-12-26 16:47:31.842
HEINZ;Mayonesa Heinz 350gr;976.0;;;2772.73;1;kg;2023-12-26 16:47:31.842
MANTECOL;Postre Mantecol Bajo En Sodio 404g;3816.0;;;9445.54;1;kg;2023-12-26 16:47:31.842
MOGUL;Gomitas Mogul Conitos 1 Kg;4990.0;;;4990.0;1;kg;2023-12-26 16:47:31.842
